WINDOW size=1936x1056
ELEMENTS=569
[0] ControlType.Custom | name='' | id='' | en=True | off=False
[1] ControlType.Text | name='لیست اشخاص' | id='' | en=True | off=False
[2] ControlType.Custom | name='' | id='Root' | en=True | off=False
[3] ControlType.Text | name='حذف' | id='BtnText' | en=True | off=False
[4] ControlType.Custom | name='' | id='Root' | en=True | off=False
[5] ControlType.Text | name='چاپ' | id='BtnText' | en=True | off=False
[6] ControlType.Custom | name='' | id='Root' | en=True | off=False
[7] ControlType.Text | name='Excel' | id='BtnText' | en=True | off=False
[8] ControlType.Custom | name='' | id='Root' | en=True | off=False
[9] ControlType.Text | name='PDF' | id='BtnText' | en=True | off=False
[10] ControlType.Custom | name='' | id='Root' | en=True | off=False
[11] ControlType.Text | name='بروزرسانی' | id='BtnText' | en=True | off=False
[12] ControlType.Text | name='اشخاص انتخاب شده' | id='PanelHeaderText' | en=True | off=False
[13] ControlType.Text | name='(۰)' | id='SelectedCountText' | en=True | off=False
[14] ControlType.Pane | name='' | id='DetailPanelScroll' | en=True | off=False
[15] ControlType.Text | name='شخص جدید' | id='BtnNewText' | en=True | off=False
[16] ControlType.Edit | name='' | id='SearchBox' | en=True | off=False
[17] ControlType.Text | name='جستجو در نام ، شماره موبایل' | id='' | en=True | off=False
[18] ControlType.Button | name='همه اشخاص' | id='tabAll' | en=True | off=False
[19] ControlType.Button | name='مشتری' | id='tabCustomers' | en=True | off=False
[20] ControlType.Button | name='تامین کننده' | id='tabSuppliers' | en=True | off=False
[21] ControlType.Button | name='پرسنل' | id='tabPersonnel' | en=True | off=False
[22] ControlType.Custom | name='' | id='PersonsGrid' | en=True | off=False
[23] ControlType.DataGrid | name='' | id='DataGridView' | en=True | off=False
[24] ControlType.Header | name='' | id='PART_ColumnHeadersPresenter' | en=True | off=False
[25] ControlType.HeaderItem | name='' | id='' | en=True | off=False
[26] ControlType.Button | name='' | id='SelectAllBorder' | en=True | off=False
[27] ControlType.HeaderItem | name='#' | id='' | en=True | off=False
[28] ControlType.Text | name='#' | id='' | en=True | off=False
[29] ControlType.HeaderItem | name='کد یکتا' | id='' | en=True | off=False
[30] ControlType.Text | name='کد یکتا' | id='' | en=True | off=False
[31] ControlType.HeaderItem | name='نام کامل / شرکت' | id='' | en=True | off=False
[32] ControlType.Text | name='نام کامل / شرکت' | id='' | en=True | off=False
[33] ControlType.HeaderItem | name='' | id='' | en=True | off=False
[34] ControlType.Text | name='ویژگی' | id='' | en=True | off=False
[35] ControlType.Button | name='' | id='' | en=True | off=False
[36] ControlType.HeaderItem | name='' | id='' | en=True | off=False
[37] ControlType.Text | name='ویژگی' | id='' | en=True | off=False
[38] ControlType.Button | name='' | id='' | en=True | off=False
[39] ControlType.HeaderItem | name='موبایل' | id='' | en=True | off=False
[40] ControlType.Text | name='موبایل' | id='' | en=True | off=False
[41] ControlType.HeaderItem | name='' | id='' | en=True | off=False
[42] ControlType.Text | name='شهر' | id='' | en=True | off=False
[43] ControlType.Button | name='' | id='' | en=True | off=False
[44] ControlType.HeaderItem | name='آخرین تراکنش' | id='' | en=True | off=False
[45] ControlType.Text | name='آخرین تراکنش' | id='' | en=True | off=False
[46] ControlType.HeaderItem | name='' | id='' | en=True | off=False
[47] ControlType.Text | name='مانده / وضعیت حساب' | id='' | en=True | off=False
[48] ControlType.Button | name='' | id='' | en=True | off=False
[49] ControlType.DataItem | name='Taadol.Views.PersonItem' | id='' | en=True | off=False
[50] ControlType.Custom | name='Item: Taadol.Views.PersonItem, Column Display Index: 0' | id='' | en=True | off=False
[51] ControlType.Button | name='' | id='RowToggle' | en=True | off=False
[52] ControlType.Custom | name='۱' | id='' | en=True | off=False
[53] ControlType.Text | name='۱' | id='' | en=True | off=False
[54] ControlType.Custom | name='PE-۲۲۹۴۹' | id='' | en=True | off=False
[55] ControlType.Text | name='PE-۲۲۹۴۹' | id='' | en=True | off=False
[56] ControlType.Custom | name='اریاگستر' | id='' | en=True | off=False
[57] ControlType.Text | name='اریاگستر' | id='' | en=True | off=False
[58] ControlType.Custom | name='Item: Taadol.Views.PersonItem, Column Display Index: 4' | id='' | en=True | off=False
[59] ControlType.Text | name='فعال' | id='' | en=True | off=False
[60] ControlType.Custom | name='Item: Taadol.Views.PersonItem, Column Display Index: 5' | id='' | en=True | off=False
[61] ControlType.Text | name='حقوقی' | id='' | en=True | off=False
[62] ControlType.Custom | name='—' | id='' | en=True | off=False
[63] ControlType.Text | name='—' | id='' | en=True | off=False
